Unnamed: 0,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski,antecedents_str,consequents_str,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,antecedents_str.1,consequents_str.1
25.0,"frozenset({'ROSES REGENCY TEACUP AND SAUCER', 'GREEN REGENCY TEACUP AND SAUCER'})",frozenset({'PINK REGENCY TEACUP AND SAUCER'}),0.07346938775510205,0.06122448979591837,0.04489795918367347,0.611111111111111,9.981481481481481,1.0,0.04039983340274885,2.41399416909621,0.9711653984781737,0.4999999999999999,0.5857487922705313,0.6722222222222222,"ROSES REGENCY TEACUP AND SAUCER, GREEN REGENCY TEACUP AND SAUCER",PINK REGENCY TEACUP AND SAUCER,,,,,,,,,,,ZINC T-LIGHT HOLDER STARS SMALL,ZINC T-LIGHT HOLDER STAR LARGE
28.0,frozenset({'PINK REGENCY TEACUP AND SAUCER'}),"frozenset({'ROSES REGENCY TEACUP AND SAUCER', 'GREEN REGENCY TEACUP AND SAUCER'})",0.06122448979591837,0.07346938775510205,0.04489795918367347,0.7333333333333333,9.98148148148148,1.0,0.04039983340274885,3.474489795918366,0.9584980237154149,0.4999999999999999,0.7121879588839941,0.6722222222222222,PINK REGENCY TEACUP AND SAUCER,"ROSES REGENCY TEACUP AND SAUCER, GREEN REGENCY TEACUP AND SAUCER",,,,,,,,,,,3 PIECE SPACEBOY COOKIE CUTTER SET,12 PENCIL SMALL TUBE WOODLAND
31.0,"frozenset({'VICTORIAN GLASS HANGING T-LIGHT', 'GREEN REGENCY TEACUP AND SAUCER'})",frozenset({'PINK REGENCY TEACUP AND SAUCER'}),0.09795918367346938,0.06122448979591837,0.05714285714285714,0.5833333333333334,9.527777777777779,1.0,0.05114535610162432,2.253061224489796,0.9922430510665804,0.5599999999999999,0.5561594202898551,0.7583333333333333,"VICTORIAN GLASS HANGING T-LIGHT, GREEN REGENCY TEACUP AND SAUCER",PINK REGENCY TEACUP AND SAUCER,,,,,,,,,,,12 PENCIL SMALL TUBE WOODLAND,3 PIECE SPACEBOY COOKIE CUTTER SET
32.0,frozenset({'PINK REGENCY TEACUP AND SAUCER'}),"frozenset({'VICTORIAN GLASS HANGING T-LIGHT', 'GREEN REGENCY TEACUP AND SAUCER'})",0.06122448979591837,0.09795918367346938,0.05714285714285714,0.9333333333333333,9.527777777777779,1.0,0.05114535610162432,13.53061224489796,0.953416149068323,0.5599999999999999,0.9260935143288085,0.7583333333333333,PINK REGENCY TEACUP AND SAUCER,"VICTORIAN GLASS HANGING T-LIGHT, GREEN REGENCY TEACUP AND SAUCER",,,,,,,,,,,12 PENCIL SMALL TUBE WOODLAND,3 ROSE MORRIS BOXED CANDLES
2.0,frozenset({'PINK REGENCY TEACUP AND SAUCER'}),frozenset({'GREEN REGENCY TEACUP AND SAUCER'}),0.06122448979591837,0.09795918367346938,0.05714285714285714,0.9333333333333333,9.527777777777779,1.0,0.05114535610162432,13.53061224489796,0.953416149068323,0.5599999999999999,0.9260935143288085,0.7583333333333333,PINK REGENCY TEACUP AND SAUCER,GREEN REGENCY TEACUP AND SAUCER,,,,,,,,,,,WOODEN CROQUET GARDEN SET,ZINC T-LIGHT HOLDER STAR LARGE
3.0,frozenset({'GREEN REGENCY TEACUP AND SAUCER'}),frozenset({'PINK REGENCY TEACUP AND SAUCER'}),0.09795918367346938,0.06122448979591837,0.05714285714285714,0.5833333333333334,9.527777777777779,1.0,0.05114535610162432,2.253061224489796,0.9922430510665804,0.5599999999999999,0.5561594202898551,0.7583333333333333,GREEN REGENCY TEACUP AND SAUCER,PINK REGENCY TEACUP AND SAUCER,,,,,,,,,,,ZINC T-LIGHT HOLDER STAR LARGE,WOODEN CROQUET GARDEN SET
33.0,frozenset({'GREEN REGENCY TEACUP AND SAUCER'}),"frozenset({'VICTORIAN GLASS HANGING T-LIGHT', 'PINK REGENCY TEACUP AND SAUCER'})",0.09795918367346938,0.06122448979591837,0.05714285714285714,0.5833333333333334,9.527777777777779,1.0,0.05114535610162432,2.253061224489796,0.9922430510665804,0.5599999999999999,0.5561594202898551,0.7583333333333333,GREEN REGENCY TEACUP AND SAUCER,"VICTORIAN GLASS HANGING T-LIGHT, PINK REGENCY TEACUP AND SAUCER",,,,,,,,,,,WOODEN CROQUET GARDEN SET,ZINC T-LIGHT HOLDER STARS SMALL
30.0,"frozenset({'VICTORIAN GLASS HANGING T-LIGHT', 'PINK REGENCY TEACUP AND SAUCER'})",frozenset({'GREEN REGENCY TEACUP AND SAUCER'}),0.06122448979591837,0.09795918367346938,0.05714285714285714,0.9333333333333333,9.527777777777779,1.0,0.05114535610162432,13.53061224489796,0.953416149068323,0.5599999999999999,0.9260935143288085,0.7583333333333333,"VICTORIAN GLASS HANGING T-LIGHT, PINK REGENCY TEACUP AND SAUCER",GREEN REGENCY TEACUP AND SAUCER,,,,,,,,,,,ZINC T-LIGHT HOLDER STARS SMALL,WOODEN CROQUET GARDEN SET
24.0,"frozenset({'PINK REGENCY TEACUP AND SAUCER', 'ROSES REGENCY TEACUP AND SAUCER'})",frozenset({'GREEN REGENCY TEACUP AND SAUCER'}),0.04897959183673469,0.09795918367346938,0.04489795918367347,0.9166666666666666,9.35763888888889,1.0,0.04009995835068721,10.82448979591836,0.9391338275458448,0.44,0.9076168929110106,0.6875,"PINK REGENCY TEACUP AND SAUCER, ROSES REGENCY TEACUP AND SAUCER",GREEN REGENCY TEACUP AND SAUCER,,,,,,,,,,,WOODEN CROQUET GARDEN SET,WOODEN STAR CHRISTMAS SCANDINAVIAN
29.0,frozenset({'GREEN REGENCY TEACUP AND SAUCER'}),"frozenset({'PINK REGENCY TEACUP AND SAUCER', 'ROSES REGENCY TEACUP AND SAUCER'})",0.09795918367346938,0.04897959183673469,0.04489795918367347,0.4583333333333333,9.35763888888889,1.0,0.04009995835068721,1.755729984301412,0.9901275195392841,0.44,0.4304363376251789,0.6875,GREEN REGENCY TEACUP AND SAUCER,"PINK REGENCY TEACUP AND SAUCER, ROSES REGENCY TEACUP AND SAUCER",,,,,,,,,,,WOODEN STAR CHRISTMAS SCANDINAVIAN,WOODEN CROQUET GARDEN SET
