Unnamed: 0,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski,antecedents_str,consequents_str,Unnamed: 17,antecedents_str.1,consequents_str.1
102563,frozenset({'REINDEER HEART DECORATION SILVER'}),"frozenset({'SET OF 60 I LOVE LONDON CAKE CASES', 'WOODEN BOX OF DOMINOES'})",0.06134969325153374,0.06134969325153374,0.06134969325153374,1.0,16.3,1,0.05758590838947646,inf,1.0,1.0,1.0,1.0,REINDEER HEART DECORATION SILVER,"SET OF 60 I LOVE LONDON CAKE CASES, WOODEN BOX OF DOMINOES",,ASSTD DESIGN RACING CAR PEN,SET/6 FRUIT SALAD PAPER CUPS
83446,"frozenset({'LIPSTICK PEN RED', 'RIBBON REEL CHRISTMAS SOCK BAUBLE'})",frozenset({'REINDEER HEART DECORATION SILVER'}),0.06134969325153374,0.06134969325153374,0.06134969325153374,1.0,16.3,1,0.05758590838947646,inf,1.0,1.0,1.0,1.0,"LIPSTICK PEN RED, RIBBON REEL CHRISTMAS SOCK BAUBLE",REINDEER HEART DECORATION SILVER,,SET/6 FRUIT SALAD PAPER CUPS,ASSTD DESIGN RACING CAR PEN
83447,frozenset({'REINDEER HEART DECORATION SILVER'}),"frozenset({'LIPSTICK PEN RED', 'RIBBON REEL CHRISTMAS SOCK BAUBLE'})",0.06134969325153374,0.06134969325153374,0.06134969325153374,1.0,16.3,1,0.05758590838947646,inf,1.0,1.0,1.0,1.0,REINDEER HEART DECORATION SILVER,"LIPSTICK PEN RED, RIBBON REEL CHRISTMAS SOCK BAUBLE",,SET/6 FRUIT SALAD  PAPER PLATES,ASSTD DESIGN RACING CAR PEN
102418,"frozenset({'SET OF 3 WOODEN SLEIGH DECORATIONS', 'TRADITIONAL KNITTING NANCY'})",frozenset({'REINDEER HEART DECORATION SILVER'}),0.06134969325153374,0.06134969325153374,0.06134969325153374,1.0,16.3,1,0.05758590838947646,inf,1.0,1.0,1.0,1.0,"SET OF 3 WOODEN SLEIGH DECORATIONS, TRADITIONAL KNITTING NANCY",REINDEER HEART DECORATION SILVER,,ASSTD DESIGN RACING CAR PEN,SET/6 FRUIT SALAD  PAPER PLATES
80433,"frozenset({'LIPSTICK PEN FUSCHIA', 'SET OF 3 WOODEN SLEIGH DECORATIONS'})",frozenset({'REINDEER HEART DECORATION SILVER'}),0.06134969325153374,0.06134969325153374,0.06134969325153374,1.0,16.3,1,0.05758590838947646,inf,1.0,1.0,1.0,1.0,"LIPSTICK PEN FUSCHIA, SET OF 3 WOODEN SLEIGH DECORATIONS",REINDEER HEART DECORATION SILVER,,ASSTD DESIGN RACING CAR PEN,VINTAGE CREAM CAT FOOD CONTAINER
100006,"frozenset({'RED  HARMONICA IN BOX', 'SET OF 6 T-LIGHTS SNOWMEN'})",frozenset({'REINDEER HEART DECORATION SILVER'}),0.06134969325153374,0.06134969325153374,0.06134969325153374,1.0,16.3,1,0.05758590838947646,inf,1.0,1.0,1.0,1.0,"RED  HARMONICA IN BOX, SET OF 6 T-LIGHTS SNOWMEN",REINDEER HEART DECORATION SILVER,,VINTAGE CREAM CAT FOOD CONTAINER,ASSTD DESIGN RACING CAR PEN
98722,"frozenset({'RIBBON REEL CHRISTMAS SOCK BAUBLE', 'RECIPE BOX PANTRY YELLOW DESIGN'})",frozenset({'REINDEER HEART DECORATION SILVER'}),0.06134969325153374,0.06134969325153374,0.06134969325153374,1.0,16.3,1,0.05758590838947646,inf,1.0,1.0,1.0,1.0,"RIBBON REEL CHRISTMAS SOCK BAUBLE, RECIPE BOX PANTRY YELLOW DESIGN",REINDEER HEART DECORATION SILVER,,VINTAGE BEAD PINK PURSE,ROUND SNACK BOXES SET OF4 WOODLAND
102053,frozenset({'REINDEER HEART DECORATION SILVER'}),"frozenset({'ROTATING LEAVES T-LIGHT HOLDER', 'SET OF 3 WOODEN SLEIGH DECORATIONS'})",0.06134969325153374,0.06134969325153374,0.06134969325153374,1.0,16.3,1,0.05758590838947646,inf,1.0,1.0,1.0,1.0,REINDEER HEART DECORATION SILVER,"ROTATING LEAVES T-LIGHT HOLDER, SET OF 3 WOODEN SLEIGH DECORATIONS",,ROUND SNACK BOXES SET OF4 WOODLAND,VINTAGE BEAD PINK PURSE
102413,frozenset({'REINDEER HEART DECORATION SILVER'}),"frozenset({'SWEETHEART CERAMIC TRINKET BOX', 'SET OF 3 WOODEN SLEIGH DECORATIONS'})",0.06134969325153374,0.06134969325153374,0.06134969325153374,1.0,16.3,1,0.05758590838947646,inf,1.0,1.0,1.0,1.0,REINDEER HEART DECORATION SILVER,"SWEETHEART CERAMIC TRINKET BOX, SET OF 3 WOODEN SLEIGH DECORATIONS",,ROUND SNACK BOXES SET OF4 WOODLAND,VINTAGE CHRISTMAS BUNTING
102412,"frozenset({'SWEETHEART CERAMIC TRINKET BOX', 'SET OF 3 WOODEN SLEIGH DECORATIONS'})",frozenset({'REINDEER HEART DECORATION SILVER'}),0.06134969325153374,0.06134969325153374,0.06134969325153374,1.0,16.3,1,0.05758590838947646,inf,1.0,1.0,1.0,1.0,"SWEETHEART CERAMIC TRINKET BOX, SET OF 3 WOODEN SLEIGH DECORATIONS",REINDEER HEART DECORATION SILVER,,VINTAGE CHRISTMAS BUNTING,ROUND SNACK BOXES SET OF4 WOODLAND
